Order Date,Region,Category,Sales,Profit
5/29/2022,Central,Furniture,649.57,-23.72
5/30/2022,Central,Technology,92.56,270.64
6/4/2022,South,Office Supplies,259.11,236.73
6/4/2022,Central,Technology,215.68,65.93
6/6/2022,Central,Technology,707.93,188.01
6/8/2022,West,Technology,135.18,-66.88
6/12/2022,East,Technology,125.73,-83.65
6/13/2022,East,Furniture,528.41,113.05
6/14/2022,West,Furniture,869.73,-49
6/15/2022,Central,Technology,507.3,-15.42
6/15/2022,South,Office Supplies,592.63,191.28
6/16/2022,West,Office Supplies,189.83,59.6
6/16/2022,West,Office Supplies,755.6,-60.22
6/17/2022,South,Furniture,529.67,168.63
6/19/2022,East,Office Supplies,639.2,120.82
6/19/2022,West,Office Supplies,619.62,137.65
6/20/2022,South,Technology,898.17,-16.26
6/20/2022,Central,Furniture,838.6,-38.86
6/21/2022,West,Furniture,83.75,298.65
6/21/2022,Central,Furniture,103.64,269
6/23/2022,South,Office Supplies,76.92,264.37
6/24/2022,South,Office Supplies,56.6,134.49
6/27/2022,Central,Office Supplies,344.28,97.05
6/27/2022,East,Technology,26.81,-85.33
6/27/2022,Central,Technology,976.34,194.58
6/28/2022,East,Furniture,231.5,126.05
6/30/2022,West,Office Supplies,156.7,52.36
6/30/2022,West,Technology,644.81,-48.45
7/2/2022,South,Office Supplies,986.91,121.67
7/3/2022,East,Office Supplies,879.92,-58.36
7/4/2022,South,Office Supplies,963.4,268.34
7/5/2022,West,Office Supplies,967.32,117.42
7/5/2022,West,Technology,962.93,15.48
7/7/2022,East,Technology,855.95,149.7
7/8/2022,East,Technology,563.27,38.54
7/9/2022,South,Office Supplies,204.36,136.09
7/10/2022,South,Office Supplies,931.1,151.16
7/10/2022,West,Office Supplies,172.87,-34.95
7/11/2022,South,Furniture,986.28,-45.25
7/11/2022,South,Office Supplies,499.66,198.18
7/12/2022,West,Office Supplies,49.89,-38.66
7/13/2022,Central,Technology,89.16,-17.94
7/14/2022,West,Furniture,942.64,60.31
7/15/2022,East,Technology,564.1,11.99
7/22/2022,Central,Office Supplies,136.44,195.21
7/24/2022,South,Furniture,698.06,138.26
7/24/2022,South,Furniture,766.39,45.23
7/25/2022,Central,Technology,64.54,175.36
7/25/2022,South,Office Supplies,708.43,250.71
7/25/2022,West,Technology,64.32,202.05
7/25/2022,Central,Technology,254.77,114.84
7/25/2022,East,Technology,440.41,258.53
7/26/2022,Central,Technology,387.37,42.27
7/27/2022,Central,Office Supplies,944.05,-57.13
7/27/2022,Central,Furniture,643.68,11.44
7/27/2022,South,Office Supplies,889.34,-38.25
7/29/2022,East,Technology,807.6,-75.57
8/2/2022,West,Furniture,172.9,173.89
8/4/2022,Central,Office Supplies,718.98,156.35
8/4/2022,West,Technology,669.27,43.27
8/5/2022,West,Furniture,812.23,277.91
8/5/2022,West,Furniture,839.26,247.96
8/5/2022,East,Furniture,469.09,109.76
8/10/2022,South,Furniture,515.15,-27.43
8/10/2022,South,Furniture,366.29,-63.37
8/13/2022,West,Office Supplies,324.76,153.36
8/16/2022,Central,Office Supplies,900.58,-46.23
8/16/2022,South,Furniture,987.15,39.3
8/19/2022,Central,Furniture,581.97,63.76
8/20/2022,West,Furniture,664.46,275.34
8/22/2022,Central,Furniture,31.91,165.47
8/27/2022,Central,Technology,439.62,53.56
8/31/2022,West,Furniture,892.21,177.58
9/1/2022,South,Furniture,793.83,94.97
9/2/2022,West,Technology,591.7,55.72
9/2/2022,South,Technology,266.75,28.83
9/3/2022,South,Technology,479.29,-81.21
9/3/2022,East,Office Supplies,137.47,104.67
9/3/2022,South,Furniture,62.3,193.03
9/9/2022,East,Office Supplies,43.83,226.64
9/9/2022,West,Furniture,127.85,93.81
9/14/2022,West,Technology,450.19,293.94
9/19/2022,West,Office Supplies,201.16,208.93
9/20/2022,Central,Furniture,372.99,144.58
9/21/2022,South,Technology,513.07,-73.17
9/22/2022,East,Furniture,102.46,-79.27
9/22/2022,Central,Technology,273.6,147.25
9/25/2022,South,Office Supplies,106.72,-46.39
9/29/2022,West,Technology,892.46,227.64
10/3/2022,West,Technology,44.91,-23.08
10/3/2022,Central,Furniture,858.35,265.94
10/6/2022,East,Office Supplies,605.94,250.66
10/8/2022,South,Office Supplies,734.43,279.81
10/9/2022,West,Furniture,916.57,199.04
10/9/2022,East,Technology,108.48,-59.29
10/11/2022,South,Technology,503.92,89.58
10/15/2022,West,Furniture,438.99,-31.07
10/15/2022,South,Technology,474.42,44.39
10/18/2022,Central,Technology,586.71,-27.36
10/18/2022,South,Technology,405.24,218.11
10/22/2022,West,Technology,353.99,167.23
10/22/2022,East,Furniture,158.11,56.9
10/22/2022,Central,Technology,874.03,268.35
10/23/2022,South,Technology,137.2,-44.47
10/23/2022,Central,Technology,940.71,120.76
10/24/2022,West,Furniture,879.79,167.46
10/26/2022,East,Furniture,926.2,-31.64
10/31/2022,West,Furniture,861.24,17.26
11/4/2022,South,Furniture,300,187.62
11/4/2022,West,Office Supplies,56.15,256.21
11/6/2022,East,Furniture,351.24,117.09
11/7/2022,West,Office Supplies,545.06,-5.11
11/8/2022,South,Technology,990.7,188.91
11/8/2022,East,Furniture,350.86,112.85
11/9/2022,South,Office Supplies,387.12,100.88
11/10/2022,South,Office Supplies,386.79,160.57
11/12/2022,South,Office Supplies,807.41,-28.58
11/13/2022,West,Technology,368.85,-10.16
11/16/2022,East,Technology,484.69,132.24
11/22/2022,Central,Technology,187.11,299.89
11/22/2022,Central,Furniture,435.74,-29.85
11/24/2022,South,Technology,154.77,246.2
11/24/2022,South,Technology,318.16,50.59
11/24/2022,West,Furniture,400.41,210.21
11/25/2022,West,Office Supplies,813.91,238.58
11/25/2022,East,Technology,911.13,168.68
11/25/2022,Central,Office Supplies,829.93,133.22
11/26/2022,South,Office Supplies,709.58,44.96
11/29/2022,West,Technology,380.43,42.44
12/1/2022,West,Office Supplies,59.91,67.57
12/4/2022,Central,Furniture,614.3,-74.65
12/7/2022,East,Furniture,96.18,-45.27
12/7/2022,West,Technology,55.22,263.38
12/11/2022,West,Office Supplies,211.88,244.71
12/15/2022,East,Office Supplies,949.91,122.17
12/15/2022,South,Technology,941.43,125.94
12/17/2022,South,Office Supplies,300.81,84.8
12/19/2022,Central,Technology,765.57,-27.25
12/19/2022,West,Furniture,119.44,28.94
12/20/2022,West,Office Supplies,904.5,-89.39
12/22/2022,South,Furniture,969.92,98.55
12/22/2022,Central,Office Supplies,970.48,274.73
12/23/2022,Central,Technology,293.07,99.38
12/23/2022,West,Technology,832.16,-45.45
12/26/2022,Central,Furniture,554.7,76.31
12/26/2022,South,Technology,640.74,249.43
12/29/2022,West,Furniture,115.88,152.91
12/30/2022,West,Furniture,666.78,122.71
1/3/2023,West,Office Supplies,743.14,267.94
1/3/2023,East,Furniture,431.21,195
1/5/2023,South,Furniture,879.83,-86.59
1/6/2023,Central,Office Supplies,558.54,-91.01
1/9/2023,West,Furniture,193.89,-4.73
1/13/2023,Central,Furniture,296.39,161.1
1/13/2023,Central,Office Supplies,420.77,136.51
1/13/2023,West,Furniture,565.67,217.61
1/14/2023,West,Technology,332.93,136.12
1/15/2023,West,Office Supplies,652.56,75.65
1/19/2023,Central,Furniture,59.96,-25.37
1/23/2023,West,Technology,299.14,-52.1
1/24/2023,West,Furniture,658.92,88.63
1/26/2023,South,Furniture,452.7,7.47
1/28/2023,West,Furniture,306.3,287.97
1/28/2023,South,Technology,903.13,98.2
1/30/2023,West,Office Supplies,252.5,271.81
1/30/2023,South,Office Supplies,380.36,196.45
1/30/2023,Central,Office Supplies,625.85,293.76
1/31/2023,East,Furniture,202.79,-35.73
2/4/2023,South,Office Supplies,44.84,-50.13
2/7/2023,South,Technology,551.79,60.34
2/11/2023,East,Furniture,31.13,107.57
2/14/2023,South,Furniture,372.3,36.83
2/15/2023,West,Office Supplies,820.88,128.65
2/16/2023,West,Furniture,502.67,109.23
2/17/2023,South,Technology,134.73,3.16
2/18/2023,West,Technology,115.23,215.44
2/19/2023,South,Office Supplies,303.96,-84.28
2/21/2023,East,Furniture,369.62,-94.18
2/21/2023,South,Office Supplies,594.06,88.83
2/22/2023,West,Technology,635.01,-69.94
2/22/2023,West,Technology,731.44,15.45
2/23/2023,West,Technology,678.69,13.51
2/23/2023,West,Technology,798.92,-34.29
2/23/2023,Central,Office Supplies,521.12,218.92
2/23/2023,East,Office Supplies,173.31,-78.1
2/24/2023,East,Furniture,847.98,186.39
2/26/2023,South,Technology,679.07,205.44
2/26/2023,Central,Technology,986.49,78.4
2/28/2023,East,Furniture,228.09,246.43
2/28/2023,East,Furniture,615.39,225.16
3/4/2023,South,Furniture,112.55,157.6
3/4/2023,Central,Technology,745.95,127.96
3/5/2023,West,Furniture,93.06,261.66
3/6/2023,Central,Technology,539.06,207.8
3/7/2023,East,Office Supplies,774.59,272.85
3/8/2023,West,Office Supplies,30.62,36.73
3/9/2023,East,Technology,811.29,-26.19
3/12/2023,West,Furniture,789.47,87.48
3/13/2023,West,Furniture,257.21,-48.97
3/14/2023,South,Technology,636.81,33.7
3/16/2023,East,Furniture,502.77,53.26
3/17/2023,West,Technology,397.4,275.93
3/17/2023,Central,Furniture,376.36,7.7
3/19/2023,Central,Furniture,948.3,-95.6
3/20/2023,West,Office Supplies,294.34,59.27
3/24/2023,West,Technology,955.77,114.96
3/25/2023,West,Technology,775.84,-41.17
3/26/2023,Central,Office Supplies,758.31,260.01
3/26/2023,South,Furniture,307.35,17.79
3/30/2023,East,Office Supplies,76.41,70.09
3/30/2023,East,Technology,128.97,67.51
3/30/2023,Central,Office Supplies,640.86,142.31
3/31/2023,West,Technology,733.65,128.31
4/2/2023,East,Furniture,531.8,248.85
4/3/2023,South,Technology,966.32,207.59
4/3/2023,West,Technology,630.43,178.66
4/4/2023,West,Technology,199.74,-89.45
4/7/2023,East,Furniture,388.73,249.56
4/8/2023,West,Technology,272.78,271.75
4/8/2023,Central,Office Supplies,825.42,265.72
4/9/2023,West,Office Supplies,354.25,226.83
4/11/2023,Central,Technology,295.16,56.98
4/13/2023,West,Office Supplies,379.03,236.85
4/14/2023,West,Furniture,212.06,-88.49
4/17/2023,West,Technology,813.17,-55.75
4/19/2023,Central,Furniture,279.9,129.79
4/19/2023,West,Office Supplies,760.44,45.71
4/26/2023,West,Technology,25.41,58.62
4/27/2023,West,Technology,781.6,140.21
4/28/2023,East,Furniture,532.64,138.74
5/1/2023,Central,Furniture,852.24,192.35
5/3/2023,South,Office Supplies,190.88,292.95
5/4/2023,South,Furniture,214.74,213.46
5/6/2023,Central,Office Supplies,644.68,142.69
5/9/2023,West,Furniture,244.22,101.37
5/9/2023,Central,Furniture,570.05,38.27
5/12/2023,Central,Furniture,111.8,-73.4
5/12/2023,South,Technology,387.05,179.26
5/13/2023,West,Furniture,894.71,222.48
5/13/2023,East,Furniture,649.19,113.04
5/15/2023,East,Furniture,70.45,215.67
5/17/2023,West,Furniture,963.96,90.42
5/17/2023,Central,Technology,623.53,65.85
5/19/2023,West,Furniture,264.31,84.31
5/20/2023,South,Office Supplies,112.1,38.28
5/20/2023,West,Office Supplies,600.57,-77.45
5/22/2023,South,Office Supplies,332.6,-37.54
5/23/2023,South,Furniture,410.53,-40.53
5/25/2023,West,Technology,314.86,31
5/26/2023,West,Technology,908.23,265.76
5/27/2023,West,Office Supplies,65.08,99.35
5/28/2023,Central,Furniture,527.96,197.58
5/29/2023,West,Furniture,630.83,292.01
5/30/2023,South,Office Supplies,907.27,3.77
6/4/2023,South,Office Supplies,702.05,107.54
6/5/2023,East,Technology,656.23,141.26
6/5/2023,Central,Office Supplies,50.8,-32.43
6/6/2023,East,Office Supplies,239.12,126.56
6/6/2023,Central,Technology,388.07,0.72
6/8/2023,West,Office Supplies,445.17,284.43
6/9/2023,Central,Office Supplies,99.72,130.61
6/10/2023,South,Furniture,40.17,145.37
6/13/2023,East,Technology,899.27,70.17
6/13/2023,Central,Office Supplies,938,287.79
6/14/2023,East,Technology,352.25,-54.07
6/15/2023,South,Office Supplies,909.42,-51.75
6/16/2023,Central,Technology,331.64,48.19
6/19/2023,East,Office Supplies,548.56,199.3
6/20/2023,Central,Furniture,656.96,188.9
6/26/2023,West,Technology,333.65,68.57
6/27/2023,West,Technology,53.7,-8.54
6/29/2023,Central,Office Supplies,65.52,245.89
6/30/2023,West,Office Supplies,328.07,-29.2
7/2/2023,East,Furniture,371.3,96.85
7/4/2023,West,Furniture,549.82,130.52
7/8/2023,Central,Office Supplies,799.88,156.46
7/11/2023,South,Technology,523.95,9.36
7/11/2023,West,Furniture,751.12,-1.86
7/12/2023,South,Furniture,963.2,-91.97
7/13/2023,West,Furniture,109.46,51.88
7/13/2023,South,Technology,557.76,204.09
7/14/2023,Central,Furniture,902.41,103.04
7/15/2023,East,Furniture,24.96,1.86
7/16/2023,West,Technology,558.24,221.14
7/20/2023,West,Technology,633.34,138.15
7/21/2023,West,Office Supplies,285.92,-14.81
7/21/2023,West,Technology,178,219.76
7/21/2023,East,Furniture,802.33,-8.3
7/21/2023,West,Furniture,484,165.41
7/22/2023,East,Technology,897.61,257.07
7/23/2023,South,Technology,186.1,-44.29
7/26/2023,East,Office Supplies,342.09,279.38
7/27/2023,East,Office Supplies,609.09,279.92
7/30/2023,South,Office Supplies,970.51,67.3
7/30/2023,Central,Technology,606.69,225.52
8/2/2023,East,Office Supplies,985.94,72.66
8/4/2023,West,Office Supplies,795.75,247.39
8/4/2023,South,Furniture,252.88,158.37
8/7/2023,West,Furniture,537.15,-87.53
8/7/2023,South,Furniture,899.17,132.5
8/9/2023,South,Furniture,702.8,168.76
8/10/2023,Central,Technology,511.49,-40.03
8/11/2023,West,Furniture,684.01,-30.65
8/13/2023,East,Technology,451.35,-48.34
8/14/2023,East,Technology,578.66,257.56
8/15/2023,East,Furniture,239.78,64.74
8/16/2023,West,Office Supplies,894.21,-19.35
8/17/2023,Central,Technology,555.78,108.12
8/18/2023,West,Furniture,622.71,-39.33
8/20/2023,West,Office Supplies,784.28,92.46
8/20/2023,South,Office Supplies,438.57,47.57
8/24/2023,West,Technology,82.29,31.5
8/26/2023,East,Technology,821.65,85.01
8/28/2023,Central,Furniture,512.58,225.83
9/1/2023,Central,Furniture,401.42,226.98
9/2/2023,West,Technology,759.45,-65.8
9/2/2023,East,Technology,121.06,-16.85
9/2/2023,East,Office Supplies,619.49,38.78
9/8/2023,South,Technology,399,59.14
9/14/2023,South,Technology,859.36,199.98
9/18/2023,East,Office Supplies,237.67,258.08
9/18/2023,South,Technology,139.6,281.62
9/19/2023,Central,Technology,338.82,148.12
9/19/2023,Central,Technology,929.75,259.83
9/20/2023,South,Technology,87.97,278.45
9/20/2023,East,Furniture,262.78,80.89
9/21/2023,East,Furniture,318.52,239.86
9/26/2023,Central,Technology,937.43,148.03
10/1/2023,South,Furniture,520.53,0.97
10/7/2023,South,Technology,776.8,105.6
10/8/2023,East,Technology,35.15,-7.11
10/10/2023,East,Office Supplies,974.91,280.09
10/10/2023,East,Technology,775.55,258.72
10/12/2023,South,Furniture,42.81,163.57
10/16/2023,East,Furniture,576.94,-27.51
10/17/2023,East,Furniture,243.38,147.3
10/21/2023,Central,Furniture,923.44,61.39
10/22/2023,Central,Technology,636.36,-92.12
10/24/2023,South,Furniture,102.42,-31.33
10/25/2023,West,Technology,363.9,153.39
10/27/2023,Central,Office Supplies,735.01,-69.65
10/27/2023,West,Technology,37.86,8.3
10/30/2023,West,Technology,285.42,-54.7
10/31/2023,Central,Technology,521.85,-67.91
10/31/2023,East,Office Supplies,257.02,-25.18
11/1/2023,West,Furniture,103.14,9.62
11/1/2023,East,Office Supplies,665.52,-16.04
11/1/2023,Central,Office Supplies,712.72,244.95
11/1/2023,South,Office Supplies,118.76,49.32
11/2/2023,East,Office Supplies,501.78,-94.76
11/3/2023,West,Office Supplies,810.7,-2.73
11/5/2023,West,Furniture,889.47,-48.78
11/7/2023,East,Office Supplies,115.72,-1.06
11/8/2023,East,Technology,656.64,-50.28
11/9/2023,East,Office Supplies,307.72,228.5
11/11/2023,West,Furniture,398.38,123.86
11/12/2023,South,Furniture,972.35,50.91
11/12/2023,East,Technology,177.59,172.6
11/13/2023,East,Office Supplies,308.56,-53.24
11/14/2023,West,Furniture,291.83,8.86
11/14/2023,East,Furniture,382.76,101.09
11/16/2023,Central,Technology,466.54,219.77
11/17/2023,West,Technology,666.99,33.4
11/19/2023,South,Furniture,617.37,137.44
11/19/2023,West,Technology,819.15,148.83
11/19/2023,South,Technology,362.23,144.25
11/23/2023,South,Technology,816.54,-17.43
11/24/2023,East,Furniture,835.79,273.09
11/29/2023,West,Furniture,639.66,294.61
11/30/2023,West,Office Supplies,476.29,133.36
12/2/2023,South,Furniture,424.37,242.28
12/5/2023,East,Furniture,336.5,270.23
12/10/2023,West,Technology,338.89,232.25
12/11/2023,West,Furniture,708.96,-3.01
12/12/2023,East,Furniture,512.63,171.64
12/15/2023,Central,Technology,211.34,43.53
12/16/2023,East,Furniture,889.95,116.65
12/18/2023,South,Office Supplies,585.37,166.08
12/18/2023,South,Technology,551.84,135.97
12/19/2023,West,Furniture,961.97,-37.9
12/20/2023,West,Technology,202.84,10.75
12/21/2023,South,Furniture,135.8,-7.57
12/21/2023,Central,Furniture,755.85,-94.8
12/23/2023,Central,Technology,914.98,58.91
12/23/2023,Central,Furniture,954.85,20.55
12/23/2023,West,Technology,893.32,-14.02
12/26/2023,West,Office Supplies,951.4,-1.44
12/28/2023,East,Technology,993.11,4.91
12/28/2023,West,Office Supplies,75.18,-33.49
12/28/2023,West,Office Supplies,720.3,-98.15
12/29/2023,Central,Furniture,518.4,-64.52
